id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1254058,2,14,2,Shahbaz Ahmed,AB de Villiers,M Jansen,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Mumbai Indians
1254058,2,14,3,Shahbaz Ahmed,AB de Villiers,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,14,4,AB de Villiers,Shahbaz Ahmed,M Jansen,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,14,5,AB de Villiers,Shahbaz Ahmed,M Jansen,0,0,0,0,0,NA,NA,NA,NA,RCB,Mumbai Indians
1254058,2,14,6,AB de Villiers,Shahbaz Ahmed,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,14,7,Shahbaz Ahmed,AB de Villiers,M Jansen,0,0,0,0,1,caught,Shahbaz Ahmed,KH Pandya,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,15,1,AB de Villiers,DT Christian,RD Chahar,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,15,2,AB de Villiers,DT Christian,RD Chahar,6,0,6,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,MI
1254058,2,15,3,AB de Villiers,DT Christian,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,15,4,DT Christian,AB de Villiers,RD Chahar,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,15,5,AB de Villiers,DT Christian,RD Chahar,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,15,6,AB de Villiers,DT Christian,RD Chahar,1,0,1,0,2,NA,,NA,NA,Royal Challengers Bangalore,Mumbai Indians
